Vietnamese,English
Con ăn cơm.,The child eats rice.
Con đang ăn cơm.,The child is eating rice.
Con ăn ở nhà.,The child eats at home.
Con đi ngủ.,The child goes to sleep.
Con đang ngủ.,The child is sleeping.
Con ngủ ở nhà.,The child sleeps at home.
Con đi học.,The child goes to school.
Con đang đi học.,The child is going to school.
Con ở nhà.,The child is at home.
Con đang ở nhà.,The child is staying at home.
Mẹ ở nhà.,Mom is at home.
Mẹ đang ăn.,Mom is eating.
Bố đi làm.,Dad goes to work.
Bố đang làm việc.,Dad is working.
Bố ở nhà.,Dad is at home.
Con chơi ở nhà.,The child plays at home.
Con đang chơi.,The child is playing.
Con chơi với mẹ.,The child plays with mom.
Con làm bài.,The child does homework.
Con đang làm bài.,The child is doing homework.
Con ăn cơm ở nhà.,The child eats rice at home.
Con đang ăn ở nhà.,The child is eating at home.
Con đi ngủ ở nhà.,The child goes to sleep at home.
Con đang ngủ ở nhà.,The child is sleeping at home.
Mẹ ở nhà với con.,Mom is at home with the child.
Con thích ăn cơm.,The child likes eating rice.
Con thích ở nhà.,The child likes staying at home.
Con thích chơi.,The child likes to play.
Con đang chơi ở nhà.,The child is playing at home.
Con ở nhà rồi.,The child is home now.
Con ăn cơm rồi.,The child has eaten rice.
Con đã ăn cơm.,The child already ate rice.
Con đã về nhà.,The child came home.
Con đã đi ngủ.,The child went to sleep.
Con không ăn cơm.,The child doesn’t eat rice.
Con không ở nhà.,The child is not at home.
Con không đi học.,The child is not going to school.
Con không ngủ.,The child is not sleeping.
Con ăn cơm không?,Does the child eat rice?
Con đang ăn không?,Is the child eating?
Con ở nhà không?,Is the child at home?
Con đi ngủ chưa?,Has the child gone to sleep yet?
Con ăn cơm chưa?,Has the child eaten rice yet?
Con muốn ăn cơm.,The child wants to eat rice.
Con muốn đi ngủ.,The child wants to go to sleep.
Con muốn ở nhà.,The child wants to stay home.
Con ăn ở nhà hay ngoài.,The child eats at home or outside.
Con đang chơi hay đang ngủ.,The child is playing or sleeping.
Con ở nhà với mẹ.,The child is at home with mom.
Con không ăn cơm rồi.,The child isn’t eating rice anymore.
